,Ticker,Average Volume,Competitors,Symbol,Security,Headquarters,Industry,Date added
0,MMM,3195777,[],MMM,3M,"Saint Paul, Minnesota",Industrial Conglomerates,1957-03-04
1,AOS,1134110,"['SPXC', 'PFIE']",AOS,A. O. Smith,"Milwaukee, Wisconsin",Building Products,2017-07-26
2,ABT,4918836,"['BSX', 'BDX', 'DXCM', 'ZBH']",ABT,Abbott,"North Chicago, Illinois",Health Care Equipment,1957-03-04
3,ABBV,5651585,"['MRK', 'LLY', 'NVO', 'PFE']",ABBV,AbbVie,"North Chicago, Illinois",Pharmaceuticals,2012-12-31
4,ACN,2160135,['GIB'],ACN,Accenture,"Dublin, Ireland",IT Consulting & Other Services,2011-07-06
5,ATVI,6473572,"['PANW', 'SNPS', 'UBER', 'CDNS']",ATVI,Activision Blizzard,"Santa Monica, California",Interactive Home Entertainment,2015-08-31
6,ADM,3063442,['BG'],ADM,ADM,"Chicago, Illinois",Agricultural Products,1957-03-04
7,ADBE,3074968,"['SAP', 'CRM', 'INTU', 'NOW']",ADBE,Adobe Inc.,"San Jose, California",Application Software,1997-05-05
8,ADP,1843749,"['PYPL', 'FISV', 'FIS', 'VRSK']",ADP,ADP,"Roseland, New Jersey",Data Processing & Outsourced Services,1981-03-31
9,AAP,1225339,"['AZO', 'ORLY']",AAP,Advance Auto Parts,"Raleigh, North Carolina",Automotive Retail,2015-07-09
10,AES,4108703,"['CMS', 'CNP', 'AGR', 'FTS']",AES,AES Corporation,"Arlington, Virginia",Independent Power Producers & Energy Traders,1998-10-02
11,AFL,2722079,"['PUK', 'TRV', 'AIG', 'MFC']",AFL,Aflac,"Columbus, Georgia",Life & Health Insurance,1999-05-28
12,A,1342185,"['MTD', 'WAT', 'PKI', 'BIO']",A,Agilent Technologies,"Santa Clara, California",Health Care Equipment,2000-06-05
13,APD,1131865,"['AFPW', 'LIN']",APD,Air Products and Chemicals,"Allentown, Pennsylvania",Industrial Gases,1985-04-30
14,AKAM,1624691,"['OKTA', 'PCTY', 'DT', 'DOCU']",AKAM,Akamai,"Cambridge, Massachusetts",Internet Services & Infrastructure,2007-07-12
15,ALK,1375977,"['PAC', 'CPA', 'AAWW']",ALK,Alaska Air Group,"SeaTac, Washington",Airlines,2016-05-13
16,ALB,1588066,"['ECL', 'CC', 'LTHM', 'NEU']",ALB,Albemarle Corporation,"Charlotte, North Carolina",Specialty Chemicals,2016-07-01
17,ARE,864296,"['AVB', 'SBAC', 'EQR', 'WY']",ARE,Alexandria Real Estate Equities,"Pasadena, California",Office REITs,2017-03-20
18,ALGN,1052597,"['XRAY', 'MLSS']",ALGN,Align Technology,"Tempe, Arizona",Health Care Supplies,2017-06-19
19,ALLE,657881,"['GFF', 'PGTI', 'JELD']",ALLE,Allegion,"New York City, New York",Building Products,2013-12-02
20,LNT,1465294,"['ALE', 'NWE']",LNT,Alliant Energy,"Madison, Wisconsin",Electric Utilities,2016-07-01
21,ALL,1634493,"['MFC', 'AFL', 'ACGL', 'PUK']",ALL,Allstate,"Northfield Township, Illinois",Property & Casualty Insurance,1995-07-13
22,GOOGL,35853111,"['GOOG', 'META', 'TRI', 'NTES']",GOOGL,Alphabet Inc. (Class A),"Mountain View, California",Interactive Media & Services,2014-04-03
23,GOOG,29101710,"['GOOGL', 'META', 'TRI', 'NTES']",GOOG,Alphabet Inc. (Class C),"Mountain View, California",Interactive Media & Services,2006-04-03
24,MO,7688083,"['PM', 'VGR']",MO,Altria,"Richmond, Virginia",Tobacco,1957-03-04
25,AMZN,75233554,"['PDD', 'JD', 'MELI', 'SHOP']",AMZN,Amazon,"Seattle, Washington",Internet & Direct Marketing Retail,2005-11-18
26,AMCR,7772785,['PKG'],AMCR,Amcor,"Warmley, Bristol, United Kingdom",Paper Packaging,2019-06-07
27,AMD,61941539,"['INTC', 'AMAT', 'TXN', 'ADI']",AMD,AMD,"Santa Clara, California",Semiconductors,2017-03-20
28,AEE,1386646,"['ETR', 'DTE', 'FE', 'PPL']",AEE,Ameren,"St. Louis, Missouri",Multi-Utilities,1991-09-19
29,AAL,25331670,"['PAC', 'ALK', 'CPA', 'UAL']",AAL,American Airlines Group,"Fort Worth, Texas",Airlines,2015-03-23
30,AEP,3003516,"['NGG', 'D', 'WEC']",AEP,American Electric Power,"Columbus, Ohio",Electric Utilities,1957-03-04
31,AXP,3202769,"['SYF', 'WU', 'SAND', 'ECPG']",AXP,American Express,"New York City, New York",Consumer Finance,1976-06-30
32,AIG,4940025,"['TRV', 'PUK', 'AFL', 'MFC']",AIG,American International Group,"New York City, New York",Property & Casualty Insurance,1980-03-31
33,AMT,1955840,"['PLD', 'EQIX', 'CCI', 'PSA']",AMT,American Tower,"Boston, Massachusetts",Specialized REITs,2007-11-19
34,AWK,1028449,"['WTRG', 'SBS']",AWK,American Water Works,"Camden, New Jersey",Water Utilities,2016-03-04
